game_id,season,week,season_type,home_team,away_team,home_score,away_score,actual_home_margin,actual_total,market_home_spread,market_total,completed,home_feature_team,home_prior_weeks,home_prev_season_off_epa,home_prev_season_off_success_rate,home_prev_season_off_explosive_rate,home_prev_season_off_pass_epa,home_prev_season_off_rush_epa,home_prev_season_havoc_allowed_rate,home_prev_season_line_yards_per_rush,home_prev_season_scoring_opp_rate,home_prev_season_avg_start_yards_to_endzone,home_prev_season_drives,home_prev_season_plays_per_drive,home_prev_season_def_epa_allowed,home_prev_season_def_success_allowed,home_prev_season_def_explosive_allowed,home_prev_season_def_pass_epa_allowed,home_prev_season_def_rush_epa_allowed,home_prev_season_def_havoc_created_rate,home_prev_season_def_line_yards_allowed,home_prev_season_def_scoring_opp_allowed,home_pregame_off_epa,home_pregame_off_success_rate,home_pregame_off_explosive_rate,home_pregame_off_pass_epa,home_pregame_off_rush_epa,home_pregame_havoc_allowed_rate,home_pregame_line_yards_per_rush,home_pregame_scoring_opp_rate,home_pregame_avg_start_yards_to_endzone,home_pregame_drives,home_pregame_plays_per_drive,home_pregame_def_epa_allowed,home_pregame_def_success_allowed,home_pregame_def_explosive_allowed,home_pregame_def_pass_epa_allowed,home_pregame_def_rush_epa_allowed,home_pregame_def_havoc_created_rate,home_pregame_def_line_yards_allowed,home_pregame_def_scoring_opp_allowed,away_feature_team,away_prior_weeks,away_prev_season_off_epa,away_prev_season_off_success_rate,away_prev_season_off_explosive_rate,away_prev_season_off_pass_epa,away_prev_season_off_rush_epa,away_prev_season_havoc_allowed_rate,away_prev_season_line_yards_per_rush,away_prev_season_scoring_opp_rate,away_prev_season_avg_start_yards_to_endzone,away_prev_season_drives,away_prev_season_plays_per_drive,away_prev_season_def_epa_allowed,away_prev_season_def_success_allowed,away_prev_season_def_explosive_allowed,away_prev_season_def_pass_epa_allowed,away_prev_season_def_rush_epa_allowed,away_prev_season_def_havoc_created_rate,away_prev_season_def_line_yards_allowed,away_prev_season_def_scoring_opp_allowed,away_pregame_off_epa,away_pregame_off_success_rate,away_pregame_off_explosive_rate,away_pregame_off_pass_epa,away_pregame_off_rush_epa,away_pregame_havoc_allowed_rate,away_pregame_line_yards_per_rush,away_pregame_scoring_opp_rate,away_pregame_avg_start_yards_to_endzone,away_pregame_drives,away_pregame_plays_per_drive,away_pregame_def_epa_allowed,away_pregame_def_success_allowed,away_pregame_def_explosive_allowed,away_pregame_def_pass_epa_allowed,away_pregame_def_rush_epa_allowed,away_pregame_def_havoc_created_rate,away_pregame_def_line_yards_allowed,away_pregame_def_scoring_opp_allowed,sealed_test_season,market_favorite,market_favorite_size
401645340,2024,6,2,Charlotte,East Carolina,55.0,25.0,30.0,80.0,9.5,47.5,True,Charlotte,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Carolina,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,East Carolina,9.5
401628385,2024,7,2,Alabama,South Carolina,27.0,25.0,2.0,52.0,-21.0,50.0,True,Alabama,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South Carolina,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Alabama,21.0
401628386,2024,7,2,Georgia,Mississippi State,41.0,31.0,10.0,72.0,-34.0,53.5,True,Georgia,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mississippi State,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Georgia,34.0
401628387,2024,7,2,Kentucky,Vanderbilt,13.0,20.0,-7.0,33.0,-12.5,44.5,True,Kentucky,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vanderbilt,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Kentucky,12.5
401628388,2024,7,2,LSU,Ole Miss,29.0,26.0,3.0,55.0,4.0,64.5,True,LSU,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ole Miss,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Ole Miss,4.0
401628389,2024,7,2,Massachusetts,Missouri,3.0,45.0,-42.0,48.0,27.0,53.5,True,Massachusetts,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missouri,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Missouri,27.0
401628390,2024,7,2,Oklahoma,Texas,3.0,34.0,-31.0,37.0,17.0,49.0,True,Oklahoma,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Texas,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Texas,17.0
401628391,2024,7,2,Tennessee,Florida,23.0,17.0,6.0,40.0,-14.0,55.5,True,Tennessee,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Florida,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tennessee,14.0
401628512,2024,7,2,Iowa,Washington,40.0,16.0,24.0,56.0,-2.5,41.5,True,Iowa,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Iowa,2.5
401628513,2024,7,2,Maryland,Northwestern,10.0,37.0,-27.0,47.0,-11.0,45.0,True,Maryland,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northwestern,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Maryland,11.0
401628514,2024,7,2,UCLA,Minnesota,17.0,21.0,-4.0,38.0,3.5,39.0,True,UCLA,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Minnesota,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Minnesota,3.5
